"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/diogop/N-Body_v2/src/barnesHutTree.cpp", "C++", 0, -66, -3, -14, -83
"/home/diogop/N-Body_v2/src/barnesHutTree.hpp", "C++", 0, -17, -1, -9, -27
"/home/diogop/N-Body_v2/src/gravitationalForce.cpp", "C++", 0, -66, -3, -19, -88
"/home/diogop/N-Body_v2/src/gravitationalForce.hpp", "C++", 0, -9, -1, -4, -14
"/home/diogop/N-Body_v2/src/initialState.cpp", "C++", 0, -29, -1, -8, -38
"/home/diogop/N-Body_v2/src/initialState.hpp", "C++", 0, -8, -1, -5, -14
"/home/diogop/N-Body_v2/src/main.cpp", "C++", 0, -31, -56, -15, -102
"/home/diogop/N-Body_v2/src/main.hpp", "C++", 0, -14, -1, -6, -21
"/home/diogop/N-Body_v2/src/output.cpp", "C++", 0, -45, -7, -8, -60
"/home/diogop/N-Body_v2/src/output.hpp", "C++", 0, -10, -1, -4, -15
"/home/diogop/N-Body_v2/src/rungeKutta.cpp", "C++", 0, -33, -1, -10, -44
"/home/diogop/N-Body_v2/src/rungeKutta.hpp", "C++", 0, -10, -1, -4, -15
"/home/diogop/N-Body_v2/src/structures.cpp", "C++", 0, -1, -1, -3, -5
"/home/diogop/N-Body_v2/src/structures.hpp", "C++", 0, -55, -1, -10, -66
"/home/diogop/N-Body_v2/test/simulation/simulation.py", "Python", 20, 0, 1, 12, 33
"/home/diogop/N-Body_v2/test/tree/tree.py", "Python", 38, 0, 1, 16, 55
"Total", "-", 58, -394, -77, -91, -504
